Step:284 Raw:203 Control:0.00 
Step:309 Raw:196 Control:-129.83 
Step:334 Raw:202 Control:-73.71 
Step:359 Raw:194 Control:-43.76 
Step:385 Raw:205 Control:-10.51 
Step:410 Raw:195 Control:-19.42 
Step:435 Raw:196 Control:1.41 
Step:460 Raw:197 Control:-0.05 
Step:485 Raw:189 Control:-3.07 
Step:510 Raw:185 Control:7.99 
Step:535 Raw:184 Control:9.70 
Step:560 Raw:189 Control:5.48 
Step:585 Raw:179 Control:-5.92 
Step:610 Raw:171 Control:8.61 
Step:635 Raw:156 Control:16.24 
Step:660 Raw:167 Control:29.74 
Step:685 Raw:150 Control:0.69 
Step:710 Raw:142 Control:20.72 
Step:735 Raw:148 Control:23.73 
Step:760 Raw:136 Control:3.80 
Step:785 Raw:128 Control:16.47 
Step:811 Raw:116 Control:20.96 
Step:836 Raw:116 Control:28.39 
Step:861 Raw:106 Control:15.73 
Step:886 Raw:100 Control:21.24 
Step:911 Raw:97 Control:20.45 
Step:936 Raw:95 Control:15.23 
Step:961 Raw:91 Control:10.63 
Step:986 Raw:89 Control:11.12 
Step:1010 Raw:83 Control:9.11 
Step:1035 Raw:81 Control:13.53 
Step:1060 Raw:83 Control:10.92 
Step:1085 Raw:82 Control:3.16 
Step:1111 Raw:76 Control:2.76 
Step:1136 Raw:80 Control:10.43 
Step:1161 Raw:80 Control:1.16 
Step:1186 Raw:81 Control:0.17 
Step:1211 Raw:84 Control:-0.96 
Step:1236 Raw:85 Control:-4.44 
Step:1261 Raw:85 Control:-3.73 
Step:1286 Raw:86 Control:-1.53 
Step:1311 Raw:86 Control:-1.62 
Step:1336 Raw:87 Control:-0.49 
Step:1361 Raw:88 Control:-1.19 
Step:1386 Raw:92 Control:-1.77 
Step:1411 Raw:96 Control:-6.35 
Step:1436 Raw:95 Control:-9.26 
Step:1461 Raw:95 Control:-3.59 
Step:1486 Raw:94 Control:-1.11 
Step:1511 Raw:98 Control:1.32 
Step:1537 Raw:98 Control:-4.51 
Step:1562 Raw:95 Control:-2.79 
Step:1587 Raw:100 Control:3.15 
Step:1612 Raw:101 Control:-4.62 
Step:1637 Raw:105 Control:-4.50 
Step:1662 Raw:102 Control:-7.96 
Step:1687 Raw:101 Control:-0.23 
Step:1712 Raw:104 Control:2.20 
Step:1737 Raw:104 Control:-2.72 
Step:1762 Raw:109 Control:-1.85 
Step:1787 Raw:107 Control:-7.94 
Step:1812 Raw:108 Control:-1.98 
Step:1837 Raw:109 Control:-1.85 
Step:1862 Raw:102 Control:-2.37 
Step:1887 Raw:104 Control:8.68 
Step:1912 Raw:105 Control:3.00 
Step:1937 Raw:104 Control:-0.29 
Step:1963 Raw:102 Control:1.02 
Step:1988 Raw:107 Control:3.63 
Step:2013 Raw:105 Control:-4.81 
Step:2038 Raw:104 Control:-0.50 
Step:2063 Raw:100 Control:1.67 
Step:2088 Raw:101 Control:6.91 
Step:2113 Raw:99 Control:2.95 
Step:2138 Raw:98 Control:4.19 
Step:2163 Raw:102 Control:3.97 
Step:2188 Raw:100 Control:-3.41 
Step:2213 Raw:89 Control:0.44 
Step:2238 Raw:92 Control:16.48 
Step:2264 Raw:95 Control:6.47 
Step:2289 Raw:92 Control:-1.51 
Step:2314 Raw:91 Control:2.94 
Step:2339 Raw:89 Control:3.75 
Step:2364 Raw:89 Control:5.27 
Step:2390 Raw:86 Control:3.33 
Step:2415 Raw:91 Control:6.23 
Step:2440 Raw:87 Control:-3.10 
Step:2465 Raw:87 Control:3.47 
Step:2490 Raw:88 Control:2.91 
Step:2515 Raw:85 Control:0.48 
Step:2540 Raw:87 Control:4.69 
Step:2564 Raw:87 Control:0.51 
Step:2589 Raw:83 Control:0.27 
Step:2614 Raw:87 Control:6.24 
Step:2639 Raw:85 Control:-1.30 
Step:2664 Raw:87 Control:1.83 
Step:2690 Raw:85 Control:-1.11 
Step:2715 Raw:87 Control:2.39 
Step:2740 Raw:84 Control:-0.77 
Step:2765 Raw:87 Control:3.98 
Step:2790 Raw:89 Control:-1.21 
Step:2816 Raw:85 Control:-3.58 
Step:2841 Raw:89 Control:3.96 
Step:2865 Raw:88 Control:-2.38 
Step:2890 Raw:91 Control:-0.07 
Step:2915 Raw:91 Control:-3.67 
Step:2940 Raw:89 Control:-1.95 
Step:2965 Raw:93 Control:2.36 
Step:2990 Raw:90 Control:-3.62 
Step:3015 Raw:87 Control:2.10 
Step:3040 Raw:88 Control:6.36 
Step:3065 Raw:86 Control:2.83 
Step:3090 Raw:92 Control:4.44 
Step:3116 Raw:96 Control:-5.56 
Step:3141 Raw:91 Control:-9.30 
Step:3166 Raw:93 Control:2.10 
Step:3190 Raw:90 Control:-0.22 
Step:3215 Raw:93 Control:4.28 
Step:3240 Raw:94 Control:-1.14 
