Step:4244 Raw:80 Control:2.44 
Step:4269 Raw:76 Control:-0.04 
Step:4294 Raw:76 Control:6.04 
Step:4319 Raw:76 Control:4.50 
Step:4344 Raw:72 Control:2.92 
Step:4369 Raw:74 Control:7.78 
Step:4395 Raw:68 Control:2.53 
Step:4419 Raw:70 Control:10.10 
Step:4444 Raw:73 Control:4.11 
Step:4469 Raw:70 Control:-1.89 
Step:4494 Raw:64 Control:3.41 
Step:4519 Raw:67 Control:11.70 
Step:4544 Raw:73 Control:3.69 
Step:4569 Raw:70 Control:-6.54 
Step:4594 Raw:73 Control:0.53 
Step:4619 Raw:71 Control:-2.49 
Step:4644 Raw:76 Control:1.98 
Step:4669 Raw:72 Control:-4.84 
Step:4695 Raw:74 Control:3.16 
Step:4720 Raw:77 Control:0.41 
Step:4744 Raw:76 Control:-3.59 
Step:4769 Raw:81 Control:-0.18 
Step:4794 Raw:80 Control:-6.17 
Step:4819 Raw:84 Control:-1.82 
Step:4844 Raw:82 Control:-5.59 
Step:4869 Raw:87 Control:0.09 
Step:4894 Raw:84 Control:-5.90 
Step:4919 Raw:86 Control:1.08 
Step:4944 Raw:90 Control:-0.99 
Step:4969 Raw:85 Control:-5.87 
Step:4994 Raw:83 Control:4.01 
Step:5019 Raw:87 Control:6.56 
Step:5044 Raw:83 Control:-1.33 
Step:5069 Raw:89 Control:4.77 
Step:5094 Raw:85 Control:-4.79 
Step:5120 Raw:84 Control:2.73 
Step:5145 Raw:81 Control:4.22 
Step:5170 Raw:84 Control:7.29 
Step:5195 Raw:85 Control:0.58 
Step:5220 Raw:81 Control:-1.17 
Step:5245 Raw:83 Control:5.51 
Step:5270 Raw:80 Control:1.42 
Step:5295 Raw:80 Control:5.27 
Step:5320 Raw:78 Control:3.89 
Step:5345 Raw:72 Control:5.48 
Step:5370 Raw:73 Control:12.37 
Step:5395 Raw:73 Control:6.69 
Step:5421 Raw:75 Control:3.83 
Step:5446 Raw:72 Control:-0.27 
Step:5471 Raw:71 Control:4.52 
Step:5496 Raw:68 Control:5.16 
Step:5521 Raw:69 Control:7.96 
Step:5547 Raw:66 Control:4.02 
Step:5572 Raw:67 Control:6.94 
Step:5597 Raw:69 Control:3.52 
Step:5622 Raw:70 Control:-0.37 
Step:5647 Raw:71 Control:-1.10 
Step:5672 Raw:73 Control:-1.19 
Step:5697 Raw:71 Control:-2.61 
Step:5722 Raw:74 Control:2.17 
Step:5747 Raw:73 Control:-1.76 
Step:5772 Raw:80 Control:0.94 
Step:5797 Raw:76 Control:-8.36 
Step:5822 Raw:83 Control:1.07 
Step:5848 Raw:83 Control:-7.67 
Step:5873 Raw:81 Control:-4.26 
Step:5898 Raw:87 Control:1.62 
Step:5923 Raw:87 Control:-6.38 
Step:5948 Raw:85 Control:-3.56 
Step:5974 Raw:88 Control:1.87 
Step:5999 Raw:84 Control:-2.07 
Step:6023 Raw:86 Control:4.83 
Step:6048 Raw:83 Control:1.10 
Step:6073 Raw:90 Control:5.16 
Step:6098 Raw:86 Control:-6.12 
Step:6123 Raw:88 Control:1.92 
Step:6148 Raw:81 Control:-0.37 
Step:6173 Raw:90 Control:10.20 
Step:6198 Raw:92 Control:-5.60 
Step:6223 Raw:85 Control:-6.81 
Step:6248 Raw:88 Control:6.81 
Step:6274 Raw:85 Control:1.39 
Step:6299 Raw:83 Control:5.13 
Step:6324 Raw:85 Control:6.65 
Step:6348 Raw:79 Control:1.58 
Step:6373 Raw:82 Control:9.59 
Step:6398 Raw:86 Control:2.44 
Step:6423 Raw:81 Control:-4.37 
Step:6448 Raw:77 Control:4.82 
Step:6473 Raw:83 Control:9.96 
Step:6498 Raw:80 Control:-1.89 
Step:6523 Raw:77 Control:2.84 
Step:6548 Raw:80 Control:7.06 
Step:6573 Raw:75 Control:0.75 
Step:6598 Raw:74 Control:7.71 
Step:6623 Raw:80 Control:7.12 
Step:6648 Raw:76 Control:-3.91 
Step:6672 Raw:80 Control:3.33 
Step:6697 Raw:82 Control:-2.33 
Step:6722 Raw:75 Control:-3.85 
Step:6747 Raw:82 Control:8.56 
Step:6772 Raw:83 Control:-3.29 
Step:6797 Raw:79 Control:-3.57 
Step:6822 Raw:81 Control:4.54 
Step:6847 Raw:83 Control:1.21 
Step:6872 Raw:84 Control:-1.73 
Step:6897 Raw:86 Control:-1.87 
Step:6922 Raw:78 Control:-3.10 
Step:6947 Raw:81 Control:10.36 
Step:6972 Raw:85 Control:3.45 
Step:6998 Raw:81 Control:-3.73 
Step:7022 Raw:88 Control:3.75 
Step:7047 Raw:79 Control:-6.42 
Step:7072 Raw:81 Control:9.11 
Step:7097 Raw:86 Control:4.40 
Step:7122 Raw:83 Control:-4.42 
Step:7147 Raw:80 Control:1.79 
Step:7172 Raw:81 Control:6.65 
Step:7197 Raw:84 Control:3.45 
Step:7222 Raw:85 Control:-1.92 
Step:7247 Raw:79 Control:-2.20 
Step:7272 Raw:81 Control:8.13 
Step:7298 Raw:78 Control:3.38 
Step:7323 Raw:85 Control:6.46 
Step:7348 Raw:79 Control:-5.34 
